CUENCA;LABEL;START_NODE;STOP_NODE;STARTPNT_X;STARTPNT_Y;ENDPNT_X;ENDPNT_Y;ORIGEN_DATO;MAXIMA_CAP;DIAMETRO;CAUDAL_MAX;REL_MAXCAP_CAUDALMAX;COTA_INV_INICIO;COTA_INV_FIN;SUMERGIDO1;SUMERGIDO2;IS_ACTIVE;LONGITUD;MATERIAL;TIPO_AGUA;TIPO_RED;ESTADO;PENDIENTE;CONDICION;COLECTOR;CRUCE;D_INT_PROY;text
LA MINA;9084580;9084563;9084564;-75.6030921517;6.1562386811;-75.6031091531;6.1562688406;null;0;0;-1;-1;0.00;0.00;0;0;False;3.80;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :3.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6065355;6065170;6065172;-75.6047845296;6.1632951070;-75.6048164106;6.1633134472;null;0;0;-1;-1;0.00;0.00;0;0;False;4.10;Concrete;LLUVIAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084577;MH-66;9084556;-75.6030230086;6.1561233585;-75.6030361252;6.1561585348;null;0;0;-1;-1;0.00;0.00;0;0;False;4.20;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084595;9084585;9084584;-75.6030093276;6.1564520426;-75.6030367327;6.1564250985;null;0;0;-1;-1;0.00;0.00;0;0;False;4.30;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064185;6064178;6064179;-75.6040036152;6.1618805227;-75.6040017031;6.1619195055;null;0;0;-1;-1;0.00;0.00;0;0;False;4.30;Concrete;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9380421;9380420;9262569;-75.6031358346;6.1564593932;-75.6031749468;6.1564470049;null;0;0;-1;-1;0.00;0.00;0;0;False;4.50;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9380406;9380254;9262558;-75.6029638282;6.1561080929;-75.6030041154;6.1561226451;null;0;0;-1;-1;0.00;0.00;0;0;False;4.70;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.7<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084594;9084587;9084585;-75.6029809422;6.1564853521;-75.6030093276;6.1564520426;null;0;0;-1;-1;0.00;0.00;0;0;False;4.80;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :4.8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9060343;9056219;9060335;-75.6070604218;6.1619331308;-75.6070839000;6.1619732959;null;0;0;-1;-1;0.00;0.00;0;0;False;5.10;Concrete;LLUVIAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8548879;8548878;8548877;-75.6055287244;6.1623851872;-75.6055277793;6.1624318992;null;0;0;-1;-1;0.00;0.00;0;0;False;5.20;Concrete;LLUVIAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :5.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
